화면,카테고리,테스트 항목,테마,게임보이 결과,클래식 결과,비고
에디터,발행,발행 성공 → 식물 성장 연출 (물주기 애니메이션) 재생,둘 다,,,
에디터,편집 모드,편집 모드 진입 시 기존 제목/본문/태그 로드됨,둘 다,,,
에디터,가이드,첫 방문 가이드 자동 열림,둘 다,,,
식물 도감,기본,통계 타일 4개 렌더링 (수집 / 일반종 / 희귀종 / 완성 계열),게임보이 전용,,−,
식물 도감,기본,HUD 닉네임 및 도감 완성도(%) 표시,게임보이 전용,,−,
식물 도감,필터,[전체] 필터 → 모든 식물 표시,게임보이 전용,,−,
식물 도감,필터,[수집] 필터 → 수집한 식물만 표시,게임보이 전용,,−,
식물 도감,필터,[미수집] 필터 → 미발견 식물만 표시,게임보이 전용,,−,
식물 도감,뷰어,수집 식물 선택 → 이미지 표시,게임보이 전용,,−,
식물 도감,뷰어,미수집 식물 선택 → "?" 마크 표시,게임보이 전용,,−,
식물 도감,뷰어,수집 식물 이름 표시,게임보이 전용,,−,
식물 도감,뷰어,미수집 식물 이름 → "??? ??? ???" 표시,게임보이 전용,,−,
식물 도감,뷰어,도감 번호 / 등급 / 계열 범위 / 수확일 표시,게임보이 전용,,−,
식물 도감,뷰어,미수집 식물 수확일 → "미발견" 표시,게임보이 전용,,−,
식물 도감,진화,진화 계통 5단계 버튼 표시,게임보이 전용,,−,
식물 도감,진화,미수집 단계 → 잠금 아이콘,게임보이 전용,,−,
식물 도감,진화,수집 단계 클릭 → 뷰어 업데이트,게임보이 전용,,−,
식물 도감,희귀종,희귀종 선택 → 배경 효과 (달/번개/꽃잎),게임보이 전용,,−,
식물 도감,색인,우측 색인 식물 행 클릭 → 좌측 뷰어 동기화,게임보이 전용,,−,
식물 도감,색인,현재 선택 행 강조 표시,게임보이 전용,,−,
AI 학습,기본,[복습 퀴즈] 모드 선택 → 문항 수 다이얼 표시,둘 다,,,
AI 학습,기본,[핵심 요약] 모드 선택 → 문항 수 다이얼 숨김,둘 다,,,
AI 학습,기본,문항 수 다이얼 [−] → 1 미만 안 됨,둘 다,,,
AI 학습,기본,문항 수 다이얼 [+] → 10 초과 안 됨,둘 다,,,
AI 학습,기본,화분 선택 드롭다운 동작,둘 다,,,
AI 학습,TIL 선택,[TIL 글 선택하기] → 모달 열림,둘 다,,,
AI 학습,TIL 선택,모달 제목 검색 동작,둘 다,,,
AI 학습,TIL 선택,모달 태그 필터 동작,둘 다,,,
AI 학습,TIL 선택,모달 체크박스 복수 선택,둘 다,,,
AI 학습,TIL 선택,모달 [전체 선택] 토글,둘 다,,,
AI 학습,TIL 선택,모달 [생성] 버튼 → 모달 닫힘 + 선택 TIL 반영,둘 다,,,
AI 학습,포인트,보유 / 사용 / 잔여 포인트 계산 및 표시,둘 다,,,
AI 학습,포인트,포인트 부족 시 경고 표시 + [만들기] 비활성화,둘 다,,,
AI 학습,생성,[만들기] 클릭 → 로딩 애니메이션 표시,둘 다,,,
AI 학습,생성,생성 완료 → 결과 표시,둘 다,,,
AI 학습,퀴즈 결과,각 문항 질문 + 4개 선택지 렌더링,둘 다,,,
AI 학습,퀴즈 결과,선택지 클릭 후 [채점] → 정답/오답 표시,둘 다,,,
AI 학습,퀴즈 결과,채점 후 별점 (정답률) 표시,둘 다,,,
AI 학습,요약 결과,핵심 개념 섹션 마크다운 렌더링,둘 다,,,
AI 학습,저장,[저장하기] 클릭 → 보관함에 카드 추가,둘 다,,,
AI 학습,보관함,저장 결과 카드 그리드 표시 (아이콘 / 제목 / 날짜),둘 다,,,
AI 학습,보관함,카드 클릭 → 해당 결과 재표시,둘 다,,,
AI 학습,보관함,카드 [삭제] → 확인 모달 → 삭제,둘 다,,,
AI 학습,가이드,첫 방문 가이드 자동 열림,둘 다,,,
프로필,기본,아바타 / 닉네임 / 핸들 / 소개글 / 가입일 표시,둘 다,,,
프로필,기본,HUD 포인트 표시,둘 다,,,
프로필,편집,[프로필 수정] 버튼 → 편집 모드 활성화,둘 다,,,
프로필,편집,닉네임/소개글 변경 후 [저장] → 화면 업데이트,둘 다,,,
프로필,편집,[취소] → 편집 모드 해제 (변경 없음),둘 다,,,
프로필,아바타,[카메라] 클릭 → 파일 업로드 다이얼로그,둘 다,,,
프로필,아바타,이미지 선택 → 업로드 → 아바타 변경 반영,둘 다,,,
프로필,계정,이메일 표시 (읽기 전용),둘 다,,,
프로필,계정,제공자 표시 (LOCAL / GOOGLE),둘 다,,,
프로필,계정,LOCAL 계정 → [비밀번호 변경] 버튼 표시,둘 다,,,
프로필,계정,GOOGLE 계정 → 비밀번호 변경 UI 없음,둘 다,,,
프로필,비밀번호,스텝 1: 현재/새/확인 비밀번호 입력 후 → 스텝 2 이동,둘 다,,,
프로필,비밀번호,스텝 1: 새 비밀번호 8자 미만 → 유효성 검사 실패,둘 다,,,
프로필,비밀번호,스텝 1: 새 비밀번호 확인 불일치 → 에러,둘 다,,,
프로필,비밀번호,스텝 2: [변경합니다] → 성공 시 로그아웃 + 로그인 페이지,둘 다,,,
프로필,테마,테마 카드 2개 표시 (게임보이 / 클래식),둘 다,,,
프로필,테마,현재 선택 테마 강조 ("● 장착됨"),둘 다,,,
프로필,테마,테마 전환 → 전체 화면 즉시 반영,둘 다,,,
프로필,테마,새로고침 후 선택한 테마 유지 (localStorage),둘 다,,,
프로필,탈퇴,[회원 탈퇴] 클릭 → 확인 모달 열림,둘 다,,,
프로필,탈퇴,탈퇴 확인 → 계정 삭제 → /landing 이동,둘 다,,,
프로필,탈퇴,탈퇴 취소 → 모달 닫힘,둘 다,,,
공통,인증,로그인 없이 보호 경로 접근 → /landing 리디렉션,공통,,−,
공통,인증,로그아웃 → 토큰 삭제 → /landing 이동,공통,,−,
공통,인증,401 응답 → 자동 로그아웃 처리,공통,,−,
공통,가이드,각 화면 첫 방문 가이드 자동 노출 확인,공통,,−,
공통,가이드,가이드 [다음] / [이전] 버튼 네비게이션,공통,,−,
공통,가이드,가이드 [건너뛰기] → 닫힘 + localStorage 기록,공통,,−,
공통,가이드,localStorage 삭제 후 가이드 다시 표시,공통,,−,
공통,에러,API 호출 실패 시 에러 메시지 표시,공통,,−,
공통,에러,필수 입력 필드 비워둠 → 폼 제출 차단,공통,,−,
공통,에러,이미지 로드 실패 → 폴백 UI 표시,공통,,−,
공통,반응형,375px 레이아웃 깨짐 없음,공통,,−,
공통,반응형,768px 레이아웃 깨짐 없음,공통,,−,
공통,반응형,1440px 레이아웃 깨짐 없음,공통,,−,
